id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
e_078, 3960, 15992, 0.00, 2107, 9887, 0.00, 345, 1442, 0.01, 158, 356, 0.02, 158, 356, 0.03, 158, 356, 0.04, 158, 356, 0.05, 158, 356, 0.06, 158, 356, 0.07, 158, 356, 0.08, 158, 356, 0.09, 158, 356, 0.10, 158, 356, 0.11, 158, 356, 0.12
e_079, 8153, 52154, 0.00, 7018, 46613, 0.01, 1407, 7385, 0.04, 658, 1569, 0.11, 658, 1569, 0.17, 658, 1569, 0.23, 658, 1569, 0.30, 658, 1569, 0.36, 658, 1569, 0.42, 658, 1569, 0.49, 658, 1569, 0.55, 658, 1569, 0.62, 659, 1578, 0.69, 658, 1569, 0.76
e_080, 1024, 3480, 0.00, 296, 1379, 0.00, 292, 1349, 0.00, 291, 1330, 7.40, 292, 1349, 7.40, 292, 1349, 7.40, 292, 1349, 7.40, 292, 1349, 7.40, 292, 1349, 7.41, 292, 1349, 7.41, 292, 1349, 7.41, 292, 1349, 7.41, 292, 1349, 7.41, 292, 1349, 7.42
e_081, 8142, 51030, 0.00, 6963, 45552, 0.01, 1488, 8211, 0.04, 576, 1406, 0.12, 576, 1406, 0.19, 576, 1406, 0.26, 576, 1406, 0.34, 576, 1406, 0.42, 576, 1406, 0.51, 576, 1406, 0.58, 576, 1406, 0.65, 576, 1406, 0.72, 701, 1706, 0.80, 576, 1406, 0.89
e_082, 8058, 43548, 0.00, 5689, 30907, 0.01, 308, 1238, 0.02, 158, 320, 0.04, 158, 320, 0.06, 158, 320, 0.09, 158, 320, 0.12, 158, 320, 0.15, 158, 320, 0.18, 158, 320, 0.20, 158, 320, 0.23, 158, 320, 0.26, 158, 320, 0.28, 158, 320, 0.31
e_083, 1712, 3537, 0.00, 466, 1382, 0.00, 33, 102, 0.00, 20, 40, 0.00, 20, 40, 0.00, 20, 40, 0.00, 20, 40, 0.00, 20, 40, 0.00, 20, 40, 0.00, 20, 40, 0.01, 20, 40, 0.01, 20, 40, 0.01, 20, 40, 0.01, 20, 40, 0.01
e_084, 503, 1024, 0.00, 116, 398, 0.00, 114, 391, 0.00, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31, 114, 391, 4.31
e_086, 16360, 124104, 0.00, 15460, 119107, 0.02, 3438, 21983, 0.10, 1173, 2896, 0.28, 1173, 2896, 0.46, 1173, 2896, 0.64, 1173, 2896, 0.81, 1173, 2896, 0.99, 1173, 2896, 1.17, 1173, 2896, 1.35, 1173, 2896, 1.54, 1173, 2896, 1.72, 1173, 2896, 1.89, 1173, 2896, 2.07
e_088, 8189, 65903, 0.00, 8023, 65189, 0.01, 6629, 51204, 0.06, 3912, 18527, 0.32, 3912, 18527, 0.57, 3912, 18527, 0.82, 3912, 18527, 1.06, 3912, 18527, 1.30, 3912, 18527, 1.54, 3912, 18527, 1.79, 3912, 18527, 2.03, 3912, 18527, 2.27, 3913, 18544, 2.51, 3912, 18527, 2.75
e_089, 8168, 55556, 0.00, 7388, 52134, 0.01, 4778, 28939, 0.12, 3278, 15082, 0.50, 3278, 15082, 0.87, 3278, 15082, 1.11, 3310, 15272, 1.41, 3278, 15082, 1.71, 3278, 15082, 2.01, 3278, 15082, 2.31, 3278, 15082, 2.61, 3278, 15082, 2.91, 3289, 15277, 3.22, 3278, 15082, 3.54
e_090, 1740, 3544, 0.00, 488, 1402, 0.00, 46, 136, 0.00, 39, 80, 0.00, 39, 80, 0.00, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01, 39, 80, 0.01
e_091, 1726, 3364, 0.00, 406, 1137, 0.00, 14, 34, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00, 13, 26, 0.00
e_092, 16333, 119263, 0.00, 13996, 98448, 0.01, 959, 4428, 0.07, 532, 1170, 0.15, 532, 1170, 0.24, 532, 1170, 0.32, 532, 1170, 0.41, 532, 1170, 0.49, 532, 1170, 0.58, 532, 1170, 0.67, 532, 1170, 0.75, 532, 1170, 0.84, 532, 1170, 0.93, 532, 1170, 1.01
e_093, 16333, 109487, 0.00, 14991, 102670, 0.01, 1873, 10861, 0.07, 736, 1672, 0.18, 736, 1672, 0.28, 736, 1672, 0.39, 736, 1672, 0.50, 736, 1672, 0.61, 736, 1672, 0.72, 736, 1672, 0.83, 736, 1672, 0.94, 736, 1672, 1.05, 736, 1672, 1.16, 736, 1672, 1.27
e_094, 8087, 41813, 0.00, 5683, 31857, 0.01, 940, 4211, 0.03, 463, 1094, 0.08, 463, 1094, 0.13, 463, 1094, 0.17, 463, 1094, 0.22, 463, 1094, 0.26, 463, 1094, 0.31, 463, 1094, 0.35, 463, 1094, 0.40, 463, 1094, 0.44, 519, 1242, 0.48, 463, 1094, 0.53
e_095, 8174, 59029, 0.00, 7664, 56758, 0.01, 5223, 34185, 0.09, 3668, 17497, 0.49, 3668, 17497, 0.80, 3669, 17516, 1.06, 3681, 17589, 1.34, 3668, 17497, 1.67, 3668, 17497, 2.06, 3668, 17497, 2.40, 3668, 17497, 2.71, 3668, 17497, 3.04, 3686, 17643, 3.36, 3668, 17497, 3.78
e_096, 16290, 113251, 0.00, 12184, 80761, 0.01, 1476, 7214, 0.06, 587, 1384, 0.16, 587, 1384, 0.25, 587, 1384, 0.34, 587, 1384, 0.43, 587, 1384, 0.52, 587, 1384, 0.61, 587, 1384, 0.70, 587, 1384, 0.79, 587, 1384, 0.88, 758, 1807, 0.96, 587, 1384, 1.04
e_097, 16314, 103725, 0.00, 13933, 92026, 0.03, 2908, 16011, 0.11, 1253, 3184, 0.31, 1253, 3184, 0.49, 1253, 3184, 0.64, 1253, 3184, 0.81, 1253, 3184, 0.97, 1253, 3184, 1.12, 1253, 3184, 1.27, 1253, 3184, 1.42, 1253, 3184, 1.57, 1443, 3686, 1.70, 1253, 3184, 1.85
e_098, 16245, 107319, 0.00, 12731, 80615, 0.01, 684, 2842, 0.05, 364, 810, 0.13, 364, 810, 0.20, 364, 810, 0.28, 364, 810, 0.34, 364, 810, 0.40, 364, 810, 0.46, 364, 810, 0.52, 364, 810, 0.58, 364, 810, 0.64, 364, 810, 0.70, 364, 810, 0.77
e_099, 8061, 38175, 0.00, 6290, 31553, 0.01, 430, 1708, 0.02, 243, 510, 0.05, 243, 510, 0.08, 243, 510, 0.12, 243, 510, 0.15, 243, 510, 0.18, 243, 510, 0.21, 243, 510, 0.23, 243, 510, 0.26, 243, 510, 0.28, 243, 510, 0.31, 243, 510, 0.33
e_100, 32735, 246591, 0.00, 31059, 236551, 0.03, 5665, 35328, 0.20, 1879, 4618, 0.63, 1879, 4618, 1.03, 1879, 4618, 1.49, 1879, 4618, 1.91, 1879, 4618, 2.36, 1879, 4618, 2.85, 1879, 4618, 3.26, 1879, 4618, 3.66, 1879, 4618, 4.09, 2273, 5638, 4.45, 1879, 4618, 4.85
